Language,Count,Percent,Percent prefix sum
javascript,9423857,13.677057537281867,13.677057537281867
java,7167845,10.402856121789428,24.079913659071295
python,6387612,9.27048626160521,33.35039992067651
php,6033898,8.757133105913002,42.10753302658951
c#,6030841,8.752696412434794,50.8602294390243
c,5802490,8.421285423739205,59.28151486276351
typescript,4778979,6.935840680993118,66.21735554375663
c++,2826669,4.102408870577196,70.31976441433382
go,2602568,3.7771660033347914,74.0969304176686
ruby,2231987,3.239333387748259,77.33626380541686
kotlin,1440580,2.0907464477715987,79.42701025318846
unity3d-asset,1142553,1.6582130989884512,81.08522335217691
scala,1115718,1.6192668544716935,82.7044902066486
shell,1023131,1.4848932401220365,84.18938344677063
swift,912923,1.3249458685661268,85.51432931533677
vue,720483,1.0456533291659087,86.55998264450268
jsx,601529,0.8730126893206915,87.43299533382337
sql,594437,0.8627199087686943,88.29571524259207
ini,586238,0.8508205139934792,89.14653575658555
rust,527812,0.7660255342231761,89.91256129080872
twig,416558,0.6045600791284355,90.51712136993716
html+erb,369374,0.5360808690938278,91.05320223903098
haskell,365188,0.5300056322931143,91.58320787132409
smalltalk,302022,0.4383313829491411,92.02153925427324
lua,300285,0.435810435428157,92.45734968970139
tex,283856,0.41196665487418604,92.86931634457558
restructuredtext,270124,0.3920370916282714,93.26135343620385
coffeescript,250053,0.3629075938195946,93.62426103002345
makefile,224190,0.32537203496224765,93.94963306498569
diff,209715,0.3043641389540468,94.25399720393973
jupyter-notebook,206795,0.300126276685035,94.55412348062477
smali,203599,0.2954878493522399,94.84961132997701
cmake,199463,0.28948517868626966,95.13909650866327
solidity,196249,0.2848206275449669,95.42391713620823
julia,179098,0.25992899200530184,95.68384612821353
dart,169766,0.24638524861680242,95.93023137683033
arduino,162369,0.23564981464287071,96.1658811914732
visual-basic,141188,0.20490934864289137,96.37079054011609
actionscript,135827,0.197128807675709,96.5679193477918
ocaml,103723,0.15053554387969673,96.7184548916715
common-lisp,103706,0.150510871393884,96.86896576306539
dockerfile,98208,0.14253149921750485,97.0114972622829
jade,92595,0.13438522493121602,97.14588248721412
stylus,87393,0.12683544427251753,97.27271793148664
erlang,86564,0.12563229775847273,97.39835022924511
smarty,72370,0.1050322234275296,97.50338245267264
crystal,71807,0.10421512875031942,97.60759758142297
