Language,Count,Percent,Percent prefix sum
nimrod,47776,0.04745367848150295,98.90159871498426
powershell,47205,0.04688653074178137,98.94848524572605
f#,46396,0.04608298867271875,98.99456823439877
vhdl,40728,0.04045322792185725,99.03502146232063
perl,39500,0.03923351264273624,99.07425497496337
cuda,39317,0.03905174725504963,99.11330672221841
sqf,39040,0.03877661603980817,99.15208333825822
org,38915,0.03865245935422989,99.19073579761245
glsl,38816,0.03855412725925189,99.2292899248717
stata,33807,0.033578920554759084,99.26286884542645
fish,32816,0.03259460635149449,99.29546345177795
saltstack,31099,0.03088919011839125,99.32635264189634
pascal,30536,0.030329988406546677,99.35668263030288
fortran,30342,0.03013729723052919,99.38681992753341
ada,28507,0.028314677086240046,99.41513460461965
liquid,28438,0.028246142595800834,99.44338074721546
qml,27166,0.02698272416335627,99.47036347137882
xquery,25644,0.02547099235975514,99.49583446373857
modelica,24524,0.02435854845697376,99.52019301219555
hcl,23229,0.023072285194382786,99.54326529738994
logos,20814,0.02067357802901043,99.56393887541894
mediawiki,20310,0.02017297827275881,99.5841118536917
nesc,19149,0.01901981097710775,99.60313166466881
agda,18634,0.01850828543252524,99.62163995010134
chapel,15892,0.01578478437768011,99.63742473447903
linker-script,14818,0.014718030135191533,99.65214276461421
java-server-pages,14766,0.01466638095399097,99.66680914556821
abap,14583,0.014484615566304367,99.68129376113451
mathematica,12259,0.012176294468033,99.69347005560255
gnuplot,12223,0.012140537342586457,99.70561059294513
factor,12142,0.012060083810331731,99.71767067675546
standard-ml,11870,0.011789918862513396,99.72946059561798
autoit,11652,0.011573389602864876,99.74103398522084
unrealscript,11067,0.010992336314358529,99.7520263215352
perl6,10927,0.010853280826510856,99.7628796023617
openscad,10563,0.010491736558106908,99.77337133891982
qmake,10159,0.01009046215031791,99.78346180107013
edn,9460,0.009396177964564172,99.7928579790347
antlr,9243,0.009180641958400279,99.80203862099309
mako,9211,0.00914885784689224,99.81118747883998
g-code,8571,0.00851317561673145,99.81970065445671
idris,8424,0.008367167354491395,99.8280678218112
textile,7879,0.007825844205370096,99.83589366601657
pure-data,7327,0.007277568281856415,99.84317123429842
lilypond,7265,0.007215986565809589,99.85038722086423
jasmin,7126,0.007077924331446542,99.85746514519568
sourcepawn,6947,0.006900131957698446,99.86436527715337
stan,6533,0.0064889250150631855,99.87085420216843
squirrel,6124,0.006082684339851056,99.87693688650828
mirah,5637,0.00559896989283808,99.88253585640112
max,5580,0.005542354444214385,99.88807821084534
rmarkdown,5458,0.005421177519089984,99.89349938836443
kicad,5385,0.005348670014712269,99.89884805837914
postscript,5360,0.005323838677596613,99.90417189705674
alloy,5202,0.005166904627025668,99.90933880168377
ecl,5076,0.005041754687962763,99.91438055637174
metal,4992,0.004958321395254159,99.91933887776699
yang,4843,0.004810326626044851,99.92414920439303
ren'py,4819,0.0047864885424138215,99.92893569293544
boo,4694,0.004662331856835541,99.93359802479227
dm,4465,0.004434876808856135,99.93803290160113
inno-setup,3710,0.0036849704279633276,99.9417178720291
jflex,3362,0.003339318215313398,99.94505719024441
ats,3239,0.0032171480367043717,99.94827433828112
brainfuck,2975,0.0029549291167630456,99.95122926739789
aspectj,2854,0.002834745445123271,99.95406401284302
xojo,2836,0.0028168668823999993,99.95688087972542
lsl,2723,0.0027046292386372346,99.95958550896405
eagle,2645,0.0026271554668363885,99.9622126644309
webidl,2618,0.00260033762275148,99.96481300205365
ninja,2474,0.002457309120965303,99.96727031117462
propeller-spin,2321,0.002305341337817489,99.96957565251243
web-ontology-language,2030,0.002016304573791255,99.97159195708622
apl,2024,0.0020103450528834972,99.9736023021391
monkey,1804,0.0017918292862657257,99.97539413142536
clips,1686,0.0016746253750798302,99.97706875680043
cap'n-proto,1538,0.0015276238593551475,99.9785963806598
rebol,1487,0.0014769679316392098,99.98007334859143
mask,1362,0.0013528112460609305,99.9814261598375
labview,1327,0.0013180473740990123,99.9827442072116
vcl,1293,0.0012842767556217204,99.98402848396722
xproc,1292,0.0012832835021370941,99.98531176746936
gosu,1098,0.0010905923261196049,99.98640235979548
c2hs-haskell,1079,0.0010717205099117064,99.98747408030539
lfe,1041,0.0010339768774959095,99.98850805718288
clarion,1036,0.0010290106100727782,99.98953706779295
pike,1019,0.0010121253008341323,99.99054919309378
nu,920,0.0009137932058561351,99.99146298629964
bro,850,0.0008442654619322988,99.99230725176157
harbour,805,0.0007995690551241184,99.99310682081669
lolcode,765,0.0007598389157390689,99.99386665973243
xc,581,0.0005770802745678419,99.994443740007
literate-agda,573,0.0005691342466908319,99.99501287425369
grace,560,0.0005562219513906909,99.99556909620507
golo,540,0.0005363568816981663,99.99610545308677
x10,404,0.00040127440778899844,99.99650672749456
ioke,403,0.00040028115430437223,99.99690700864886
opa,363,0.0003605510149193229,99.99726755966378
xpages,315,0.00031287484765726365,99.99758043451143
idl,312,0.00030989508720338495,99.99789032959863
shen,303,0.00030095580584174885,99.99819128540447
krl,289,0.00028705025705698156,99.99847833566153
pogoscript,228,0.0002264617944947813,99.99870479745603
augeas,208,0.00020659672480225662,99.99891139418084
octave,188,0.00018673165510973196,99.99909812583594
apacheconf,187,0.00018573840162510572,99.99928386423757
netlinx,170,0.00016885309238645976,99.99945271732996
m,132,0.00013110945997066287,99.99958382678993
scaml,113,0.00011223764376276443,99.99969606443369
blitzbasic,108,0.00010727137633963327,99.99980333581003
ampl,71,7.052099740846261e-05,99.99987385680744
oxygene,55,5.462894165444286e-05,99.9999284857491
coq,38,3.774363241579689e-05,99.99996622938151
nginx,15,1.4898802269393509e-05,99.99998112818378
myghty,10,9.932534846262339e-06,99.99999106071863
shellsession,9,8.939281361636105e-06,99.99999999999999
