Language,Count,Percent,Percent prefix sum
html,10089028,10.020962217491643,10.020962217491643
javascript,9423857,9.360278803869326,19.38124102136097
markdown,7757705,7.705367523952357,27.08660854531333
java,7167845,7.119487023510727,34.206095568824054
python,6387612,6.344517877440346,40.5506134462644
php,6033898,5.993190214379263,46.54380366064366
c#,6030841,5.990153838476761,52.53395749912042
c,5802490,5.763343412008876,58.2973009111293
xml,5060330,5.02619040585867,63.32349131698797
typescript,4778979,4.746737544705595,68.07022886169356
text,3355955,3.3333139979988324,71.4035428596924
yaml,3273468,3.2513834978124683,74.65492635750486
c++,2826669,2.807598834134952,77.46252519163981
go,2602568,2.585009734976728,80.04753492661654
ruby,2231987,2.2169288653904538,82.26446379200699
kotlin,1440580,1.43086110488286,83.69532489688986
unity3d-asset,1142553,1.1348447486201574,84.83016964551001
scala,1115718,1.1081907913602123,85.93836043687023
shell,1023131,1.0162284309791234,86.95458886784935
scss,920589,0.9143782321585799,87.86896710000794
swift,912923,0.9067639509454353,88.77573105095337
css,778568,0.7733153790184777,89.54904642997185
vue,720483,0.7156222503639629,90.26466868033582
jsx,601529,0.5974707753537338,90.86213945568954
sql,594437,0.5904266216407645,91.4525660773303
ini,586238,0.5822829363203141,92.03484901365061
rust,527812,0.5242511082275417,92.55910012187816
twig,416558,0.4137476850489348,92.97284780692709
html+erb,369374,0.36688201263033055,93.33972981955742
haskell,365188,0.3627242535436851,93.70245407310111
smalltalk,302022,0.2999844039337844,94.00243847703489
lua,300285,0.29825912263098864,94.30069759966588
tex,283856,0.28194096113206424,94.58263856079795
restructuredtext,270124,0.2683016042811768,94.85094016507912
coffeescript,250053,0.24836601359124366,95.09930617867036
makefile,224190,0.22267749871835535,95.32198367738872
diff,209715,0.20830015452839062,95.5302838319171
jupyter-notebook,206795,0.20539985435328204,95.73568368627039
smali,203599,0.2022254162164166,95.93790910248681
cmake,199463,0.19811731980400246,96.13602642229081
solidity,196249,0.19492500310441377,96.33095142539523
groff,187674,0.1864078544737438,96.51735927986897
julia,179098,0.17788971258958922,96.69524899245856
dart,169766,0.16862067107105722,96.86386966352961
arduino,162369,0.16127357504527698,97.02514323857488
visual-basic,141188,0.1402354729874087,97.1653787115623
actionscript,135827,0.13491064105632747,97.30028935261862
asciidoc,133070,0.13217224119921295,97.43246159381783
ocaml,103723,0.10302323118588684,97.53548482500372
common-lisp,103706,0.10300634587664821,97.63849117088037
gettext-catalog,101044,0.10036230510057317,97.73885347598095
dockerfile,98208,0.09754543821817317,97.83639891419912
jade,92595,0.09197030640896613,97.92836922060809
stylus,87393,0.08680340178194046,98.01517262239003
erlang,86564,0.08597999464318531,98.10115261703321
turtle,84253,0.08368458584021408,98.18483720287342
smarty,72370,0.07188175468240054,98.25671895755582
crystal,71807,0.07132255297055598,98.32804151052638
haml,67410,0.06695521739865443,98.39499672792503
llvm,63694,0.06326428744978334,98.45826101537482
scheme,63476,0.06304775819013482,98.52130877356495
objective-c++,62847,0.062423001748304924,98.58373177531325
protocol-buffer,61020,0.06060832763189279,98.64434010294515
yacc,54850,0.05447995363174892,98.6988200565769
graphql,54248,0.05388201503400393,98.75270207161091
asp,52467,0.05211303057788461,98.8048151021888
xslt,49665,0.049329934313961904,98.85414503650276
